primary_submarket,secondary_submarket,property_type,total_inventory_q,vacancy_q,net_absorption_q,under_construction_q,rent_q,delivered_q,leasing_activity_q
Seattle Close-In,Downtown/Lake Union,Total Industrial,1717241,0.162,-65,0,,
Seattle Close-In,North Seattle/Interbay,Total Industrial,6825147,0.104,-3560,12454,,
Seattle Close-In,East Seattle/Capitol Hill/Rainier Valley,Total Industrial,1801563,0.134,-1008,0,,
Seattle Close-In,South/West Seattle,Total Industrial,39579135,0.093,60295,0,,
Seattle Close-In,,Total Industrial,49923086,0.099,55662,12454,1.57,,
Kent Valley,SeaTac,Total Industrial,6360510,0.095,8073,0,,
Kent Valley,Tukwila,Total Industrial,12161553,0.102,-164061,0,,
Kent Valley,Renton,Total Industrial,16164753,0.02,-12366,0,,
Kent Valley,Kent,Total Industrial,48878073,0.085,-822067,223517,,
Kent Valley,Auburn,Total Industrial,28486593,0.045,-51649,0,,
Kent Valley,Federal Way,Total Industrial,3172500,0.183,95549,474424,,
Kent Valley,Sumner,Total Industrial,19411608,0.074,-1650,476362,,
Kent Valley,,Total Industrial,134635590,0.071,-948171,1174303,1.16,,
Tacoma/Fife,Port of Tacoma,Total Industrial,12544453,0.05,26913,26000,,
Tacoma/Fife,Tacoma West,Total Industrial,5845188,0.048,10848,1481295,,
Tacoma/Fife,Fife,Total Industrial,13316909,0.072,156050,154000,,
Tacoma/Fife,Puyallup,Total Industrial,8537909,0.094,-45682,389303,,
Tacoma/Fife,Frederickson,Total Industrial,15290615,0.146,0,1118480,,
Tacoma/Fife,Lakewood,Total Industrial,7386464,0.166,-221719,0,,
Tacoma/Fife,DuPont,Total Industrial,4635287,0.107,-7200,0,,
Tacoma/Fife,Gig Harbor,Total Industrial,757586,0.132,0,0,,
Tacoma/Fife,,Total Industrial,68314411,0.098,-80790,3169078,0.89,,
Eastside,Bellevue,Total Industrial,2030527,0.039,-115,0,,
Eastside,1-90 Corridor,Total Industrial,2652400,0.149,-5108,0,,
Eastside,Kirkland/Totem Lake,Total Industrial,2318166,0.016,40501,0,,
Eastside,Overlake,Total Industrial,704781,0.305,-22446,0,,
Eastside,Marymoor,Total Industrial,3484130,0.07,-134385,0,,
Eastside,Willows,Total Industrial,3846437,0.072,14642,0,,
Eastside,Bothell,Total Industrial,2985818,0.074,-22048,0,,
Eastside,Woodinville/Maltby,Total Industrial,6909081,0.077,-184618,0,,
Eastside,,Total Industrial,24931340,0.08,-392485,0,1.74,,
Northend,Lynnwood/Edmonds/Mtlk Terrace,Total Industrial,2579822,0.019,11217,138371,,
Northend,Monroe,Total Industrial,2041027,0.096,19370,0,,
Northend,Mukilteo,Total Industrial,2980771,0.108,-62303,0,,
Northend,Everett,Total Industrial,11165253,0.134,18884,125048,,
Northend,No. Snohomish,Total Industrial,5932940,0.216,3601,307860,,
Northend,,Total Industrial,24699813,0.135,-45123,571279,1.13,,
Puget Sound (3-county),,Total Industrial,302504240,0.088,-1410907,4927114,1.23,,
Puget Sound (3-county),,"Whse/Bus Pk/Manuf",293456020,0.086,-1262929,4927114,1.21,,
Puget Sound (3-county),,"Flex",9184307,0.142,-147978,0,1.73,,
Thurston County,Lacey,Total Industrial,12438673,0.054,6681,38000,,
Thurston County,Olympia Core,Total Industrial,822123,0,0,0,,
Thurston County,Tumwater,Total Industrial,4702188,0.1,58956,29150,,
Thurston County,Outlying Thurston,Total Industrial,395220,0,0,0,,
Thurston County,,Total Industrial,18358204,0.062,339636,67150,0.76,,
Lewis County,,Total Industrial,5638167,0,0,107125,,,
Five-County Total,,Total Industrial,326500611,0.085,-1405851,5101389,1.23,,
