primary_submarket,secondary_submarket,property_type,total_inventory_q,vacancy_q,net_absorption_q,under_construction_q,rent_q,delivered_q,leasing_activity_q
East,,"Industrial",22204951,,70467,0,9.72,0,
Midway,,"Industrial",28799948,,36274,0,7.54,0,
Minneapolis,,"Industrial",23662733,,-11135,0,8.80,0,
North Central,,"Industrial",55048718,,23248,520254,9.18,0,
Northwest,,"Industrial",83482492,,625644,1025100,8.40,0,
South Central,,"Industrial",56102245,,-27109,369965,7.73,89039,
Southwest,,"Industrial",71984923,,447109,525391,8.44,0,
St Paul,,"Industrial",15442274,,33499,175000,7.39,0,
Total,,Distribution/Logistics,220182662,0.047,1037975,2331110,8.75,89039,
Total,,Manufacturing,74386343,0.011,-4187,109600,8.52,0,
Total,,R&D / Flex,39843686,0.044,169493,0,8.12,0,
Total,,Other Industrial,22315593,0.009,-5284,175000,11.13,0,
Total,,"Industrial",356728284,0.036,1197997,2615710,8.68,89039,
