primary_submarket,secondary_submarket,property_type,total_inventory_q,vacancy_q,net_absorption_q,under_construction_q,rent_q,delivered_q,leasing_activity_q
Piedmont Triad Airport Area,,Warehouse,17516762,0.08,84307,1273840,7.3,0,
North Guilford,,Warehouse,7494463,0.027,,,7.56,,
South Greensboro,,Warehouse,1905542,0.043,43698,160000,8.99,,
Central Guilford,,Warehouse,4327138,0.094,18936,104000,7.68,,
Southeast Guilford,,Warehouse,7515417,0.123,,,6.88,,
High Point,,Warehouse,8241395,0.047,-182950,,5.23,,
North Forsyth,,Warehouse,7120210,0.048,,,5.89,,
Kernersville,,Warehouse,3969659,0.013,-18237,,8.18,,
South Forsyth,,Warehouse,3548451,,,,6,,
Southeast Forsyth,,Warehouse,7032564,0.019,-6275,157500,5.38,0,
Winston-Salem CBD,,Warehouse,1978560,0.042,,,4,,
Clemmons.,,Warehouse,477159,0.21,,,6.5,,
South Alamance,,Warehouse,5381836,0.253,-71795,404450,7.02,,
North Alamance,,Warehouse,5908838,0.05,-118734,,4.57,,
West Burlington/Airport,,Warehouse,648478,0.13,-84550,,6,,
SW Alamance,,Warehouse,2389216,,,,5.2,,
South Burlington,,Warehouse,1316287,0.124,,,4.76,,
Burlington CBD,,Warehouse,975559,0.053,22831,,5.16,,
Davidson County,,Warehouse,25960377,0.058,-639305,,5.5,,
Davie County,,Warehouse,8326784,0.146,-45548,282652,6.18,,
Market Total,,Warehouse,121976643,0.072,-997622,2382442,6.44,,
