primary_submarket,secondary_submarket,property_type,total_inventory_q,vacancy_q,net_absorption_q,under_construction_q,rent_q,delivered_q,leasing_activity_q
Central PA,Adams County,Industrial,2516961,0,4840,,,
Central PA,Cumberland County,Industrial,65704519,0.021,-240456,,8.33,100000,
Central PA,Dauphin County,Industrial,31263226,0.088,1008967,,8.41,,
Central PA,Franklin County,Industrial,25610516,0.134,2530947,,7.28,1006500,
Central PA,Lancaster County,Industrial,56157208,0.056,-1488791,325000,8.68,300240,
Central PA,Lebanon County,Industrial,15955130,0.024,173327,1113178,7.18,,
Central PA,York County,Industrial,71820741,0.03,3740282,869120,6.64,54025,
Central PA Subtotal,,,269028301,0.049,5729116,2307298,7.92,1460765,
Lehigh Valley PA,Berks County,Industrial,40346448,0.128,-46381,,9.55,91555,
Lehigh Valley PA,Lehigh County,Industrial,64029411,0.04,-324876,,11.58,310800,
Lehigh Valley PA,Northampton County,Industrial,51597078,0.074,2043425,1859848,11.63,,
Lehigh Valley PA Subtotal,,,155972937,0.074,1672168,1859848,11.01,402355,
Northeast PA,Carbon County,Industrial,1253747,0,921328,,,
Northeast PA,Lackawanna County,Industrial,20396434,0.063,1172179,,5.63,,
Northeast PA,Luzerne County,Industrial,54364781,0.047,3724944,437500,7.54,1857500,
Northeast PA,Monroe County,Industrial,7913851,0.185,307000,,7.32,,
Northeast PA,Schuylkill County,Industrial,17667338,0.172,-131398,,7,1229136,
Northeast PA Subtotal,,,101596151,0.082,5994053,437500,6.95,3086636,
Total,,,526597389,0.063,13395337,4604646,9.02,4949756,
