primary_submarket,secondary_submarket,property_type,total_inventory_q,vacancy_q,net_absorption_q,under_construction_q,rent_q,delivered_q,leasing_activity_q
Seattle Close-In,Downtown/Lake Union,,1812431,0.146,1309,0,,
Seattle Close-In,North Seattle/Interbay,,6854147,0.119,-37754,0,,
Seattle Close-In,East Seattle/Capitol Hill/Rainier Valley,,1922754,0.137,-23040,0,,
Seattle Close-In,South/West Seattle,,40494359,0.07,-41209,702429,,
Seattle Close-In,,,51083691,0.082,-100694,702429,1.46,,
Kent Valley,SeaTac,,6021671,0.028,-26552,315520,,
Kent Valley,Tukwila,,12161553,0.079,-89413,0,,
Kent Valley,Renton,,16164753,0.019,-78640,0,,
Kent Valley,Kent,,48878073,0.054,348830,223517,,
Kent Valley,Auburn,,27986117,0.032,346949,105208,,
Kent Valley,Federal Way,,2075875,0.286,-20281,1023692,,
Kent Valley,Sumner,,19386608,0.065,-714859,25000,,
Kent Valley,,,132674650,0.051,-233966,1692937,1.07,,
Tacoma/Fife,Port of Tacoma,,12555020,0.029,3000,0,,
Tacoma/Fife,Tacoma West,,5845188,0.031,-2916,11900,,
Tacoma/Fife,Fife,,13201921,0.024,-46405,111500,,
Tacoma/Fife,Puyallup,,8316378,0.067,80608,340744,,
Tacoma/Fife,Frederickson,,12088375,0.137,169045,4353557,,
Tacoma/Fife,Lakewood,,7185646,0.07,-13988,145896,,
Tacoma/Fife,DuPont,,4635287,0.105,0,0,,
Tacoma/Fife,Gig Harbor,,757586,0.182,33416,0,,
Tacoma/Fife,,,64585401,0.065,222760,4963597,0.96,,
Eastside,Bellevue,,2030527,0.039,12643,0,,
Eastside,I-90 Corridor,,2536825,0.109,5673,115575,,
Eastside,Kirkland/Totem Lake,,2429959,0.078,-10380,0,,
Eastside,Overlake,,704781,0.273,-19797,0,,
Eastside,Marymoor,,3484130,0.017,0,0,,
Eastside,Willows,,3834195,0.073,-12240,0,,
Eastside,Bothell,,3110428,0.083,2212,0,,
Eastside,Woodinville/Maltby,,6886356,0.028,62845,0,,
Eastside,,,25017201,0.061,40956,115575,1.9,,
Northend,Lynnwood/Edmonds/Mtlk Terrace,,2579822,0.035,-11242,0,,
Northend,Monroe,,2041027,0.106,-2478,0,,
Northend,Mukilteo,,2980771,0.087,-1440,0,,
Northend,Everett,,10634862,0.107,59539,166590,,
Northend,No. Snohomish,,5343550,0.15,76504,483258,,
Northend,,,23580032,0.106,120883,649848,1.09,,
Thurston County,Lacey,,12250673,0.039,162678,188000,,
Thurston County,Olympia,,822123,0.0,0,0,,
Thurston County,Tumwater,,4663382,0.105,8300,10056,,
Thurston County,Outlying Thurston,,77250,0.0,0,299000,,
Thurston County,,,17813428,0.054,170978,497056,0.75,,
Lewis County,,,5638167,0.0,0,0,0.49,,
,,Whse/Bus Pk/Manuf,287353382,0.062,43380,8124386,1.15,,
,,Flex,9587593,0.136,6559,0,2.03,,
Puget Sound (3-county),,,296940975,0.065,49939,8124386,1.21,,
Five-County Total,,,320392570,0.063,220917,8621442,1.16,,
