primary_submarket,secondary_submarket,property_type,total_inventory_q,vacancy_q,net_absorption_q,under_construction_q,rent_q,delivered_q,leasing_activity_q
Northgate/Natomas,,Industrial,23870538,0.11,-57122,,0.81,,
Richards,,Industrial,4732400,0.036,-66186,,0.64,,
Downtown/Midtown/East Sacramento,,Industrial,4955716,0.014,-7862,,1.18,,
West Sacramento,,Industrial,25290100,0.056,366507,,0.81,,
South Sacramento,,Industrial,5519427,0.041,-157507,,0.9,,
Elk Grove/Laguna/Galt,,Industrial,7759516,0.008,-5361,,1.11,,
Power Inn Area,,Industrial,28725931,0.019,-3070,,0.8,,
Northeast Sacramento,,Industrial,6920192,0.04,-70104,,0.96,,
Rancho Cordova,,Industrial,19527293,0.094,-115154,,0.84,,
Roseville/Rocklin,,Industrial,16725820,0.016,22276,,0.98,,
I-80/Roseville Rd,,Industrial,10962961,0.024,-62100,,0.85,,
Lincoln,,Industrial,3756011,0.037,0,,0.73,,
Woodland/Davis,,Industrial,17923063,0.004,-39919,,0.59,,
Folsom/El Dorado Hills,,Industrial,4830457,0.025,9811,,1.11,,
McClellan Park,,Industrial,7942479,0.064,140895,,0.62,,
Auburn/Newcastle,,Industrial,3009064,0.017,-20398,,1.23,,
Market Total,,Industrial,192450968,0.045,-65294,,0.81,,
