primary_submarket,secondary_submarket,property_type,total_inventory_q,vacancy_q,net_absorption_q,under_construction_q,rent_q,delivered_q,leasing_activity_q
Annapolis,,Warehouse,394025,0.0,9260,,10.65,,
Baltimore City,,Warehouse,28716443,0.067,76313,151721,9.14,,
Baltimore County East,,Warehouse,28618805,0.036,-8100,2550300,8.64,,
Baltimore Southwest,,Warehouse,7426767,0.139,-223487,,10.90,,
Balt/Washington Corridor,,Warehouse,49698590,0.05,-250338,309498,12.86,,
Harford/Cecil County,,Warehouse,38737052,0.108,744000,950970,7.56,,
Hunt Valley/Towson,,Warehouse,2953673,0.075,3000,,8.90,,
Owings Mills/Reisterstown Rd,,Warehouse,723140,0.0,0,,11.50,,
Total,,Warehouse,157268495,0.069,350648,3962469,9.74,,
Annapolis,,Flex,1121006,0.09,1375,,16.45,,
Baltimore City,,Flex,2737900,0.085,-10628,,8.08,,
Baltimore County East,,Flex,2911495,0.082,-20900,,8.65,,
Baltimore Southwest,,Flex,3646386,0.121,-13308,,11.88,,
Balt/Washington Corridor,,Flex,14591859,0.063,-63901,,14.28,,
Harford/Cecil County,,Flex,1842015,0.052,220,,10.37,,
Hunt Valley/Towson,,Flex,3541120,0.061,11100,,10.68,,
Owings Mills/Reisterstown Rd,,Flex,1803766,0.123,4816,,11.30,,
Total,,Flex,32195547,0.076,-91226,,12.27,,
Total,,Overall,189560728,0.07,259422,3962469,10.10,,
