primary_submarket,secondary_submarket,property_type,total_inventory_q,vacancy_q,net_absorption_q,under_construction_q,rent_q,delivered_q,leasing_activity_q
East Tampa Area,,Industrial,74643388,0.052,478471,3514479,6.19,,
East Tampa Area,Tampa CBD,Industrial,8529796,0.033,10684,0,4.08,,
East Tampa Area,Northeast,Industrial,2319823,0.07,-2038,0,6.97,,
East Tampa Area,East Tampa,Industrial,47562957,0.045,-94167,1252512,7.16,,
East Tampa Area,Plant City,Industrial,12895611,0.104,71836,2149967,5.48,,
East Tampa Area,Southeast,Industrial,3335201,0.0,492156,112000,3.00,,
Airport Area,,Industrial,21098012,0.04,-138744,542254,7.74,,
Airport Area,Westshore,Industrial,3619841,0.029,478,0,6.05,,
Airport Area,Airport,Industrial,12819439,0.047,-190494,542254,9.36,,
Airport Area,Southwest Tampa,Industrial,2598988,0.016,61239,0,6.51,,
Airport Area,Northwest Tampa,Industrial,2059744,0.049,-9967,0,9.89,,
Hillsborough County,,Industrial,95741400,0.05,339727,4056733,6.54,,
Pinellas County,,Industrial,45083092,0.041,161832,230000,7.62,,
Pinellas County,South Pinellas,Industrial,8553723,0.06,-7500,0,5.85,,
Pinellas County,Mid Pinellas/Gateway,Industrial,29697090,0.042,169332,100000,7.82,,
Pinellas County,North Pinellas,Industrial,6832279,0.011,0,130000,8.76,,
Tampa Total,,Industrial,140824492,0.047,501559,4286733,6.73,,
Tampa Total,,Manufacturing,31315800,0.033,-288067,0,6.53,,
Tampa Total,,R&D/Flex,12577782,0.063,103975,0,11.99,,
Tampa Total,,Warehouse/Distribution,96930910,0.049,685651,4286733,5.84,,
