Period,Market,primary_submarket,secondary_submarket,property_type,total_inventory_q,vacancy_q,net_absorption_q,under_construction_q,rent_q,delivered_q,leasing_activity_q
2024 H2,Colorado Springs,CBD,,Overall,10000.0,0.0,0.0,,,,
2024 H2,Colorado Springs,Central,,Overall,2943162.0,0.044,49225.0,,11.85,,
2024 H2,Colorado Springs,East,,Overall,2743083.0,0.023,-2351.0,,11.26,,
2024 H2,Colorado Springs,Falcon,,Overall,43475.0,0.0,0.0,,,,
2024 H2,Colorado Springs,Fountain/Security/Widefield,,Overall,1585616.0,0.128,3180.0,,7.58,,
2024 H2,Colorado Springs,Greater Downtown,,Overall,1612747.0,0.004,-6400.0,,,,
2024 H2,Colorado Springs,Northeast,,Overall,2620672.0,0.048,28952.0,164168.0,7.73,,
2024 H2,Colorado Springs,Northwest,,Overall,8077216.0,0.026,-24106.0,,11.3,,
2024 H2,Colorado Springs,Southeast,,Overall,12283356.0,0.025,293084.0,106750.0,11.52,,
2024 H2,Colorado Springs,Southwest,,Overall,1162639.0,0.014,-16426.0,,9.5,,
2024 H2,Colorado Springs,Tri-Lakes,,Overall,649063.0,0.251,219043.0,,10.5,,
2024 H2,Colorado Springs,West Side/Manitou,,Overall,718512.0,0.039,-23735.0,,13.43,,
2024 H2,Colorado Springs,METRO TOTAL,,Overall,34449541.0,0.036,520466.0,270918.0,10.2,,
2024 H2,Northern Colorado,Fort Collins,,,10592010.0,0.03,,,12.56,,
2024 H2,Northern Colorado,Greeley/Evans,,,7210498.0,0.058,,,10.61,,
2024 H2,Northern Colorado,I-25 North,,,6171349.0,0.075,,3972150.0,12.78,,
2024 H2,Northern Colorado,I-25 South,,,3579237.0,0.012,,171214.0,14.17,,
2024 H2,Northern Colorado,Loveland/Berthoud,,,4947017.0,0.057,,,9.1,,
2024 H2,Northern Colorado,Weld County South,,,724679.0,0.082,,30000.0,18.5,,
2024 H2,Northern Colorado,Windsor,,,4102402.0,0.012,,,12.36,,
2024 H2,Northern Colorado,Northern Colorado,,,37327192.0,0.044,,4173364.0,11.54,,
2024 H2,Oklahoma City,Oklahoma City,,Industrial,,0.057,798517.0,596855.0,,981940.0,
