Period,Market,primary_submarket,secondary_submarket,property_type,total_inventory_q,vacancy_q,net_absorption_q,under_construction_q,rent_q,delivered_q,leasing_activity_q
2023 Q2,Albuquerque,Airport,,Industrial,1111668.0,0.017,-7168.0,,11.5,,
2023 Q2,Albuquerque,Downtown,,Industrial,3287932.0,0.002,0.0,,10.0,,
2023 Q2,Albuquerque,Mesa del Sol,,Industrial,693896.0,0.0,0.0,0.0,0.0,0.0,
2023 Q2,Albuquerque,NE Heights,,Industrial,482381.0,0.009,-5523.0,,9.0,,
2023 Q2,Albuquerque,North 1-25,,Industrial,16615610.0,0.006,-4619.0,138612.0,11.63,,
2023 Q2,Albuquerque,North Valley,,Industrial,2660178.0,0.0,0.0,,8.75,,
2023 Q2,Albuquerque,Rio Rancho,,Industrial,6539789.0,0.0,7600.0,,,,
2023 Q2,Albuquerque,SE Heights,,Industrial,1511743.0,0.028,89454.0,,14.16,,
2023 Q2,Albuquerque,South 1-25,,Industrial,2958380.0,0.0,84000.0,148140.0,,84000.0,
2023 Q2,Albuquerque,Valencia County,,Industrial,3234118.0,0.061,0.0,,9.5,,
2023 Q2,Albuquerque,West Mesa,,Industrial,7622317.0,0.0,5099.0,148720.0,9.88,,
2023 Q2,Albuquerque,Market Total,,Industrial,46718012.0,0.008,164423.0,435472.0,11.27,84000.0,
2023 Q2,Atlanta,Central Atlanta,,Industrial,7205715.0,0.047,-18428.0,,10.3,,
2023 Q2,Atlanta,Chattahoochee,,Industrial,15503898.0,0.036,-90693.0,,9.73,,
2023 Q2,Atlanta,Northwest/1-75,,Industrial,71619240.0,0.075,75194.0,10123109.0,6.78,821844.0,
2023 Q2,Atlanta,Central/GA 400,,Industrial,25166819.0,0.041,220243.0,223000.0,8.93,,
2023 Q2,Atlanta,Northeast/1-85,,Industrial,198963606.0,0.035,2273319.0,12513347.0,7.05,1407528.0,
2023 Q2,Atlanta,Stone Mountain,,Industrial,27983948.0,0.009,3225.0,,6.45,,
2023 Q2,Atlanta,Airport,,Industrial,83246374.0,0.03,295650.0,1385033.0,7.3,,
2023 Q2,Atlanta,Southeast/1-75,,Industrial,70838731.0,0.069,341075.0,5456193.0,6.56,1271294.0,
2023 Q2,Atlanta,Southwest/1-85,,Industrial,59509401.0,0.024,221259.0,4138465.0,6.87,28125.0,
2023 Q2,Atlanta,1-20 East,,Industrial,39239718.0,0.05,106166.0,3591864.0,6.3,163065.0,
2023 Q2,Atlanta,1-20 West,,Industrial,107756604.0,0.06,-313677.0,1574316.0,6.45,926180.0,
2023 Q2,Atlanta,Market Total,,WAREHOUSE/DISTRIBUTION,544713805.0,0.048,2779853.0,38647752.0,6.57,4589911.0,
2023 Q2,Atlanta,Market Total,,SHALLOW BAY,124926318.0,0.028,24198.0,154120.0,6.92,28125.0,
2023 Q2,Atlanta,Market Total,,FLEX,37393931.0,0.051,309282.0,203455.0,11.1,,
2023 Q2,Atlanta,Market Total,,Industrial,707034054.0,0.045,3113333.0,39005327.0,7.19,4618036.0,
2023 Q2,Austin,BASTROP COUNTY,,Industrial,796062.0,0.023,0.0,606521.0,6.0,,
2023 Q2,Austin,CALDWELL COUNTY,,Industrial,415763.0,0.0,0.0,167794.0,0.0,,
2023 Q2,Austin,CEDAR PARK,,Industrial,7306872.0,0.025,29277.0,112660.0,19.16,,
2023 Q2,Austin,CENTRAL,,Industrial,1737426.0,0.069,7612.0,,16.21,,
2023 Q2,Austin,EAST,,Industrial,9500486.0,0.03,-49200.0,860657.0,19.04,,
2023 Q2,Austin,FAR NORTH,,Industrial,7010750.0,0.417,103980.0,1809141.0,8.25,2179404.0,
2023 Q2,Austin,FAR NORTHEAST,,Industrial,2542887.0,0.225,-15054.0,2697919.0,10.89,,
2023 Q2,Austin,HAYS COUNTY,,Industrial,12639452.0,0.196,290526.0,2519812.0,8.83,1633769.0,
2023 Q2,Austin,NORTH,,Industrial,16102628.0,0.042,39773.0,,14.63,125030.0,
2023 Q2,Austin,NORTHEAST,,Industrial,26820499.0,0.048,235972.0,2191958.0,11.68,503417.0,
2023 Q2,Austin,NORTHWEST,,Industrial,708902.0,0.004,48120.0,,17.0,50620.0,
2023 Q2,Austin,ROUND ROCK,,Industrial,5226036.0,0.029,16258.0,1358036.0,12.52,,
2023 Q2,Austin,SOUTH,,Industrial,2753375.0,0.022,-3000.0,655311.0,18.54,,
2023 Q2,Austin,SOUTHEAST,,Industrial,17404803.0,0.037,35800.0,2220802.0,10.48,20000.0,
2023 Q2,Austin,SOUTHWEST,,Industrial,3879856.0,0.043,-16942.0,,15.0,,
2023 Q2,Austin,AUSTIN TOTAL,,Industrial,114845797.0,0.083,693845.0,15200611.0,11.37,4512240.0,
2023 Q2,Baltimore,Annapolis,,Warehouse,498012.0,0.058,6300.0,,10.68,,
2023 Q2,Baltimore,Baltimore City,,Warehouse,29426847.0,0.031,284761.0,615121.0,7.92,,
2023 Q2,Baltimore,Baltimore County East,,Warehouse,28056193.0,0.039,-93920.0,1525240.0,8.09,,
2023 Q2,Baltimore,Baltimore Southwest,,Warehouse,7908834.0,0.106,-207283.0,,11.5,,
2023 Q2,Baltimore,Balt/Washington Corridor,,Warehouse,49514401.0,0.041,-402790.0,,12.5,,
2023 Q2,Baltimore,Harford/Cecil County,,Warehouse,37284068.0,0.079,616332.0,2682250.0,7.21,,
2023 Q2,Baltimore,Hunt Valley/Towson,,Warehouse,3216649.0,0.064,74947.0,,8.76,,
2023 Q2,Baltimore,Owings Mills/Reisterstown Rd,,Warehouse,961948.0,0.003,15970.0,,12.5,,
2023 Q2,Baltimore,Total,,Warehouse,156866952.0,0.051,294317.0,4822611.0,8.89,,
2023 Q2,Baltimore,Annapolis,,Flex,1130307.0,0.101,-50641.0,,16.9,,
2023 Q2,Baltimore,Baltimore City,,Flex,2528816.0,0.067,-4879.0,,7.55,,
2023 Q2,Baltimore,Baltimore County East,,Flex,2581799.0,0.081,-23492.0,,8.28,,
2023 Q2,Baltimore,Baltimore Southwest,,Flex,3264392.0,0.119,15906.0,,12.3,,
2023 Q2,Baltimore,Balt/Washington Corridor,,Flex,16242116.0,0.062,-23208.0,,13.86,,
2023 Q2,Baltimore,Harford/Cecil County,,Flex,2076849.0,0.049,14324.0,,9.08,,
2023 Q2,Baltimore,Hunt Valley/Towson,,Flex,3653062.0,0.056,-23334.0,,10.55,,
2023 Q2,Baltimore,Owings Mills/Reisterstown Rd,,Flex,1781852.0,0.125,10021.0,,11.23,,
2023 Q2,Baltimore,Total,,Flex,33259193.0,0.073,-85303.0,,12.0,,
