Period,Market,primary_submarket,secondary_submarket,property_type,total_inventory_q,vacancy_q,net_absorption_q,under_construction_q,rent_q,delivered_q,leasing_activity_q
2023 Q3,Boston,Urban,,,14297465.0,0.052,-88428.0,,27.14,,
2023 Q3,Boston,Metro North,Close-In Suburbs North,,18138330.0,0.053,-22227.0,,24.6,,
2023 Q3,Boston,Metro North,Route 128-North,,33641838.0,0.036,208381.0,,19.92,,
2023 Q3,Boston,Metro North,Route 495 Northeast,,24173472.0,0.015,86835.0,,14.63,,
2023 Q3,Boston,Metro North,Route 3-North,,18178700.0,0.055,-247384.0,,16.35,,
2023 Q3,Boston,Metro North,,,94132340.0,0.037,25605.0,,19.5,,
2023 Q3,Boston,Metro South,Route 128-South,,44157179.0,0.05,15826.0,,14.88,,
2023 Q3,Boston,Metro South,Route 495 - South,,71422088.0,0.049,-396359.0,,13.2,,
2023 Q3,Boston,Metro South,,,115579267.0,0.049,-380533.0,,13.64,,
2023 Q3,Boston,Metro West,Route 128-West,,6372001.0,0.02,16368.0,,26.82,,
2023 Q3,Boston,Metro West,Framingham - Natick,,4528544.0,0.015,25128.0,,13.11,,
2023 Q3,Boston,Metro West,Route 495 Route 2 West,,21631763.0,0.034,222930.0,,13.43,,
2023 Q3,Boston,Metro West,Route 495 Mass Pike West,,24281422.0,0.02,247900.0,,12.97,,
2023 Q3,Boston,Metro West,,,56813730.0,0.025,512326.0,,13.56,,
2023 Q3,Boston,Worcester,City of Worcester,,9537102.0,0.008,-24999.0,,9.0,,
2023 Q3,Boston,Worcester,Worcester North,,11365925.0,0.066,185001.0,,12.83,,
2023 Q3,Boston,Worcester,Worcester South,,9248542.0,0.116,30000.0,,10.98,,
2023 Q3,Boston,Worcester,,,30151569.0,0.063,190002.0,,11.41,,
2023 Q3,Boston,Overall Greater Boston Total Industrial,,,280822802.0,0.04,68970.0,,15.74,,
2023 Q3,Broward,Central Broward,,Industrial,18576151.0,0.0307,-91021.0,0.0,15.63,,
2023 Q3,Broward,Coral Springs,,Industrial,8691515.0,0.0138,143296.0,627385.0,15.5,,
2023 Q3,Broward,Northeast Broward,,Industrial,11765671.0,0.0418,73170.0,0.0,15.4,,
2023 Q3,Broward,Pompano/Lauderdale,,Industrial,25312333.0,0.0348,-211030.0,0.0,14.5,,
2023 Q3,Broward,Southeast Broward,,Industrial,16102963.0,0.0272,-24639.0,576237.0,15.1,,
2023 Q3,Broward,Southwest Broward,,Industrial,17518956.0,0.0218,-59885.0,0.0,15.0,,
2023 Q3,Broward,Sunrise,,Industrial,5932697.0,0.0141,105235.0,0.0,16.56,,
2023 Q3,Broward,Broward Total,,Industrial,103900286.0,0.028,-64874.0,1203622.0,15.45,,
2023 Q3,Chicago,McHenry County,,Industrial,23882467.0,0.071,,177320.0,6.5,,
2023 Q3,Chicago,Lake County,,Industrial,79764348.0,0.046,,0.0,6.78,,
2023 Q3,Chicago,NE Cook County,,Industrial,49745726.0,0.024,,916066.0,7.48,,
