Period,Market,primary_submarket,secondary_submarket,property_type,total_inventory_q,vacancy_q,net_absorption_q,under_construction_q,rent_q,delivered_q,leasing_activity_q
2024 Q2,Atlanta,,,WAREHOUSE/DISTRIBUTION,614465110.0,0.08,3353470.0,13983061.0,6.85,5230628.0,
2024 Q2,Atlanta,,,SHALLOW BAY,88531379.0,0.042,-253700.0,163170.0,6.99,0.0,
2024 Q2,Atlanta,,,FLEX,38694644.0,0.052,61403.0,,11.28,,
2024 Q2,Atlanta,Central Atlanta,,,7212861.0,0.086,-61016.0,,10.42,,
2024 Q2,Atlanta,Chattahoochee,,,15524898.0,0.04,-65716.0,,9.8,,
2024 Q2,Atlanta,Northwest/I-75,,,82513935.0,0.154,1127912.0,1019668.0,6.78,704010.0,
2024 Q2,Atlanta,N Central/GA 400,,,25532491.0,0.039,81322.0,,9.11,,
2024 Q2,Atlanta,Northeast/I-85,,,209458544.0,0.08,924657.0,3299672.0,7.52,2049059.0,
2024 Q2,Atlanta,Stone Mountain,,,27983948.0,0.021,-119064.0,,6.5,,
2024 Q2,Atlanta,Airport,,,84793524.0,0.048,74307.0,265775.0,7.51,,
2024 Q2,Atlanta,Southeast/I-75,,,74079784.0,0.061,356465.0,6005966.0,6.89,498160.0,
2024 Q2,Atlanta,Southwest/I-85,,,62967777.0,0.07,-11620.0,1291200.0,7.36,271111.0,
2024 Q2,Atlanta,I-20 East,,,42643569.0,0.077,1286705.0,562745.0,6.47,1423960.0,
2024 Q2,Atlanta,I-20 West,,,108979802.0,0.058,-432779.0,1701205.0,6.6,284328.0,
2024 Q2,Atlanta,ATLANTA,,,741691133.0,0.074,3161173.0,14146231.0,7.46,5230628.0,
2024 Q2,Austin,BASTROP COUNTY,,,1317583.0,0.014,,222346.0,6.0,,
2024 Q2,Austin,CALDWELL COUNTY,,,614839.0,0.268,37262.0,312000.0,,71660.0,
2024 Q2,Austin,CEDAR PARK,,,7145606.0,0.059,13228.0,503437.0,17.94,,
2024 Q2,Austin,CENTRAL,,,1584121.0,0.09,-17352.0,,11.36,,
2024 Q2,Austin,EAST,,,10152376.0,0.027,685131.0,3555728.0,13.45,423032.0,
2024 Q2,Austin,FAR NORTH,,,8500115.0,0.27,513313.0,856216.0,14.09,604064.0,
2024 Q2,Austin,FAR NORTHEAST,,,3237052.0,0.252,14783.0,3301579.0,10.84,20500.0,
