Period,Market,primary_submarket,secondary_submarket,property_type,total_inventory_q,vacancy_q,net_absorption_q,under_construction_q,rent_q,delivered_q,leasing_activity_q
2021 Q3,San Francisco Peninsula,Daly City/Brisbane,,Industrial,5647590,0.059,-146965,,1.36,,
2021 Q3,San Francisco Peninsula,Daly City/Brisbane,,Warehouse Class A,3997831,0.07,-146965,,1.41,,
2021 Q3,San Francisco Peninsula,Daly City/Brisbane,,Warehouse Class B,1642315,0.033,0,,1.23,,
2021 Q3,San Francisco Peninsula,Daly City/Brisbane,,Manufacturing,7444,0.0,0,,1.4,,
2021 Q3,San Francisco Peninsula,South San Francisco,,Industrial,15960560,0.061,136047,,1.37,,
2021 Q3,San Francisco Peninsula,South San Francisco,,Warehouse Class A,5661660,0.106,161067,,1.5,,
2021 Q3,San Francisco Peninsula,South San Francisco,,Warehouse Class B,9744244,0.038,-25020,,1.3,,
2021 Q3,San Francisco Peninsula,South San Francisco,,Manufacturing,554656,0.0,0,,1.4,,
2021 Q3,San Francisco Peninsula,San Bruno/Millbrae,,Industrial,479774,0.037,0,,1.23,,
2021 Q3,San Francisco Peninsula,San Bruno/Millbrae,,Warehouse Class B,479774,0.037,0,,1.23,,
2021 Q3,San Francisco Peninsula,Burlingame,,Industrial,4079953,0.051,79789,,1.47,,
2021 Q3,San Francisco Peninsula,Burlingame,,Warehouse Class A,1170335,0.005,0,,1.5,,
2021 Q3,San Francisco Peninsula,Burlingame,,Warehouse Class B,2482774,0.034,-12985,,1.46,,
2021 Q3,San Francisco Peninsula,Burlingame,,Manufacturing,426844,0.13,92774,,1.45,,
2021 Q3,San Francisco Peninsula,North County,,Industrial,26167877,0.056,68871,,1.38,,
2021 Q3,San Francisco Peninsula,San Mateo,,Industrial,605606,0.052,3060,,1.75,,
2021 Q3,San Francisco Peninsula,San Mateo,,Warehouse Class B,312367,0.006,-1940,,1.75,,
2021 Q3,San Francisco Peninsula,San Mateo,,Manufacturing,283239,0.093,5000,,1.75,,
2021 Q3,San Francisco Peninsula,Belmont/San Carlos,,Industrial,2927997,0.025,15535,,1.77,,
2021 Q3,San Francisco Peninsula,Belmont/San Carlos,,Warehouse Class A,145000,0.0,23104,,1.85,,
2021 Q3,San Francisco Peninsula,Belmont/San Carlos,,Warehouse Class B,1121142,0.024,-10000,,1.8,,
2021 Q3,San Francisco Peninsula,Belmont/San Carlos,,Manufacturing,1661855,0.029,2431,,1.75,,
2021 Q3,San Francisco Peninsula,Redwood City/Redwood Shores,,Industrial,2998910,0.022,-35476,,1.8,,
2021 Q3,San Francisco Peninsula,Redwood City/Redwood Shores,,Warehouse Class A,467342,0.0,0,,1.9,,
2021 Q3,San Francisco Peninsula,Redwood City/Redwood Shores,,Warehouse Class B,467342,0.027,-35476,,1.8,,
2021 Q3,San Francisco Peninsula,Redwood City/Redwood Shores,,Manufacturing,781576,0.027,0,,1.75,,
2021 Q3,San Francisco Peninsula,Central County,,Industrial,6532513,0.026,-16881,,1.79,,
2021 Q3,San Francisco Peninsula,Menlo Park,,Industrial,1799398,0.023,12500,,1.94,,
2021 Q3,San Francisco Peninsula,Menlo Park,,Warehouse Class A,659649,0.0,0,,1.85,,
2021 Q3,San Francisco Peninsula,Menlo Park,,Warehouse Class B,261210,0.0,0,,1.8,,
2021 Q3,San Francisco Peninsula,Menlo Park,,Manufacturing,878539,0.047,12500,,2.05,,
2021 Q3,San Francisco Peninsula,Palo Alto/East Palo Alto,,Industrial,1269247,0.035,4275,,2.69,,
2021 Q3,San Francisco Peninsula,Palo Alto/East Palo Alto,,Warehouse Class B,26620,0.0,0,,2.03,,
2021 Q3,San Francisco Peninsula,Palo Alto/East Palo Alto,,Manufacturing,1242627,0.036,4275,,2.7,,
2021 Q3,San Francisco Peninsula,South County,,Industrial,3068645,0.028,16775,,2.25,,
2021 Q3,San Francisco Peninsula,Total Industrial Market,,Industrial,35769035,0.048,68765,,1.53,,
2021 Q3,San Francisco Peninsula,Total Industrial Market,,Warehouse Class A,12111817,0.073,37206,,1.51,,
2021 Q3,San Francisco Peninsula,Total Industrial Market,,Warehouse Class B,17820438,0.034,-85421,,1.41,,
