Period,Market,primary_submarket,secondary_submarket,property_type,total_inventory_q,vacancy_q,net_absorption_q,under_construction_q,rent_q,delivered_q,leasing_activity_q
2022 Q4,Austin,CBD,,Industrial,26776.0,0.0,,,,,
2022 Q4,Austin,CENTRAL,,Industrial,1237275.0,0.08,-4600.0,,17.24,,
2022 Q4,Austin,EAST,,Industrial,2822163.0,0.07,48950.0,,14.17,84094.0,
2022 Q4,Austin,FAR NORTHEAST,,Industrial,4865182.0,0.11,418112.0,1418600.0,8.87,526226.0,
2022 Q4,Austin,FAR NORTHWEST,,Industrial,530614.0,0.0,2950.0,,,,
2022 Q4,Austin,GEORGETOWN,,Industrial,3304251.0,0.223,422010.0,4011035.0,10.38,466997.0,
2022 Q4,Austin,HAYS COUNTY,,Industrial,3692850.0,0.08,302358.0,2785885.0,7.65,42803.0,
2022 Q4,Austin,NORTH,,Industrial,14375162.0,0.033,24849.0,,16.77,,
2022 Q4,Austin,NORTHEAST,,Industrial,8416435.0,0.028,120599.0,270442.0,12.36,,
2022 Q4,Austin,NORTHWEST,,Industrial,2626118.0,0.036,-40407.0,,13.81,,
2022 Q4,Austin,ROUND ROCK,,Industrial,4822466.0,0.047,3741.0,1041645.0,14.6,,
2022 Q4,Austin,SOUTH,,Industrial,1486861.0,0.038,-9099.0,657500.0,18.04,,
2022 Q4,Austin,SOUTHEAST,,Industrial,13466388.0,0.051,-19033.0,1375542.0,9.0,490144.0,
2022 Q4,Austin,SOUTHWEST,,Industrial,394773.0,0.0,15592.0,,,,
2022 Q4,Austin,AUSTIN TOTAL,,Industrial,62067314.0,0.059,1286022.0,11557649.0,11.56,1610264.0,
2022 Q4,Baltimore,Annapolis,,Warehouse,498012.0,0.0,,,10.67,,
2022 Q4,Baltimore,Baltimore City,,Warehouse,29033357.0,0.037,252405.0,753125.0,7.2,,
2022 Q4,Baltimore,Baltimore County East,,Warehouse,27453973.0,0.018,2100531.0,558560.0,7.9,,
2022 Q4,Baltimore,Baltimore Southwest,,Warehouse,7882346.0,0.079,-20741.0,,9.95,,
2022 Q4,Baltimore,Balt/Washington Corridor,,Warehouse,49487213.0,0.021,814691.0,,10.95,,
2022 Q4,Baltimore,Harford/Cecil County,,Warehouse,36520883.0,0.078,-116596.0,2396980.0,6.5,,
2022 Q4,Baltimore,Hunt Valley/Towson,,Warehouse,3252054.0,0.086,-91410.0,,8.34,,
2022 Q4,Baltimore,Owings Mills/Reisterstown Rd,,Warehouse,957106.0,0.016,,,10.0,,
2022 Q4,Baltimore,Total,,Warehouse,155084944.0,0.041,2938880.0,3708665.0,7.98,,
2022 Q4,Baltimore,Annapolis,,Flex,1116807.0,0.068,3390.0,,17.4,,
2022 Q4,Baltimore,Baltimore City,,Flex,2488209.0,0.075,-5579.0,,7.57,,
2022 Q4,Baltimore,Baltimore County East,,Flex,2581546.0,0.105,-45670.0,,8.32,,
2022 Q4,Baltimore,Baltimore Southwest,,Flex,3260380.0,0.113,-19040.0,,11.79,,
2022 Q4,Baltimore,Balt/Washington Corridor,,Flex,16236267.0,0.066,-146942.0,,13.87,,
2022 Q4,Baltimore,Harford/Cecil County,,Flex,2076849.0,0.061,53490.0,,9.11,,
2022 Q4,Baltimore,Hunt Valley/Towson,,Flex,3652149.0,0.077,13316.0,,10.92,,
2022 Q4,Baltimore,Owings Mills/Reisterstown Rd,,Flex,1769795.0,0.126,-6924.0,,11.2,,
2022 Q4,Baltimore,Total,,Flex,33182002.0,0.078,-153959.0,,11.94,,
2022 Q4,Baltimore,Annapolis,,Overall,1614819.0,0.047,3390.0,,14.83,,
2022 Q4,Baltimore,Baltimore City,,Overall,31521566.0,0.04,246826.0,753125.0,7.38,,
2022 Q4,Baltimore,Baltimore County East,,Overall,30035519.0,0.025,2054861.0,558560.0,8.11,,
2022 Q4,Baltimore,Baltimore Southwest,,Overall,11142726.0,0.089,-39781.0,,9.67,,
2022 Q4,Baltimore,Balt/Washington Corridor,,Overall,65723480.0,0.032,667749.0,,12.41,,
2022 Q4,Baltimore,Harford/Cecil County,,Overall,38597732.0,0.077,-63106.0,2396980.0,7.8,,
2022 Q4,Baltimore,Hunt Valley/Towson,,Overall,6904203.0,0.082,-78094.0,,10.02,,
2022 Q4,Baltimore,Owings Mills/Reisterstown Rd,,Overall,2726901.0,0.087,-6924.0,,11.2,,
2022 Q4,Baltimore,Total,,Overall,188266946.0,0.048,2784921.0,3708665.0,9.14,,
2022 Q4,Bay Area,SF Peninsula,,Warehouse,29501101.0,0.018,154051.0,,1.55,,
2022 Q4,Bay Area,Silicon Valley,,Warehouse,48437822.0,0.02,38626.0,,1.39,,
2022 Q4,Bay Area,Oakland,,Warehouse,92264044.0,0.027,291277.0,,1.34,,
2022 Q4,Bay Area,Tri-Valley,,Warehouse,17313789.0,0.017,185927.0,,1.39,,
2022 Q4,Bay Area,Napa / Solano,,Warehouse,42063072.0,0.015,-83943.0,,0.85,,
2022 Q4,Bay Area,Total Bay Area,,Warehouse,229579828.0,0.021,585938.0,,1.31,,
2022 Q4,Central Valley,Ceres,,Industrial,6160708.0,0.001,0.0,,,,
2022 Q4,Central Valley,Lathrop,,Industrial,18240680.0,0.094,196368.0,,0.67,,
2022 Q4,Central Valley,Lodi,,Industrial,5423163.0,0.0,0.0,,,,
2022 Q4,Central Valley,Manteca,,Industrial,14434114.0,0.001,-4542.0,,0.9,,
2022 Q4,Central Valley,Modesto,,Industrial,6411159.0,0.0,0.0,,,,
2022 Q4,Central Valley,Oakdale,,Industrial,890391.0,0.0,0.0,,,,
2022 Q4,Central Valley,Patterson,,Industrial,5008183.0,0.0,0.0,,0.65,,
2022 Q4,Central Valley,Stockton,,Industrial,38139768.0,0.071,0.0,,0.68,,
2022 Q4,Central Valley,Tracy,,Industrial,31865519.0,0.038,241206.0,,0.79,,
2022 Q4,Central Valley,Turlock,,Industrial,2875028.0,0.0,0.0,,,,
2022 Q4,Central Valley,Market Totals,,Industrial,129448713.0,0.037,433032.0,,0.71,,
2022 Q4,Charlotte,Central,,Industrial,19627343.0,0.027,12498.0,,7.74,,
2022 Q4,Charlotte,East,,Industrial,8486586.0,0.044,11714.0,,6.87,,
2022 Q4,Charlotte,North,,Industrial,28458720.0,0.002,34710.0,3155064.0,8.54,,
2022 Q4,Charlotte,Northeast,,Industrial,44134986.0,0.045,16453.0,2100912.0,7.48,,
2022 Q4,Charlotte,Northwest,,Industrial,42936199.0,0.028,2023344.0,4183902.0,7.33,,
2022 Q4,Charlotte,Southeast,,Industrial,7170178.0,0.036,12732.0,,8.61,,
2022 Q4,Charlotte,Southwest,,Industrial,88779169.0,0.045,372970.0,2995244.0,8.98,,
2022 Q4,Charlotte,METRO TOTAL,,Industrial,239593181.0,0.035,2484421.0,12435122.0,8.38,,
2022 Q4,Cincinnati,Central,,Industrial,82361415.0,0.033,270353.0,1450000.0,5.42,583676.0,
2022 Q4,Cincinnati,Northeast,,Industrial,67156693.0,0.019,187911.0,1722000.0,7.1,348118.0,
2022 Q4,Cincinnati,Northwest,,Industrial,85587560.0,0.022,737134.0,2719371.0,6.36,817558.0,
2022 Q4,Cincinnati,Northern Kentucky,,Industrial,81851387.0,0.024,301742.0,4406754.0,5.27,1008051.0,
2022 Q4,Cincinnati,Metro Total,,Industrial,316957055.0,0.025,1497140.0,10356554.0,5.99,2757403.0,
2022 Q4,Cleveland,Downtown,,Warehouse/Distribution,24193887.0,0.021,9000.0,,5.63,,
2022 Q4,Cleveland,East,,Warehouse/Distribution,2787185.0,0.053,-44353.0,,6.71,,
2022 Q4,Cleveland,Geauga West,,Warehouse/Distribution,926688.0,0.032,0.0,,6.92,,
2022 Q4,Cleveland,Lake County West,,Warehouse/Distribution,8892898.0,0.057,40270.0,,4.27,,
2022 Q4,Cleveland,Northeast,,Warehouse/Distribution,9700821.0,0.029,198000.0,,6.83,,
2022 Q4,Cleveland,Northwest,,Warehouse/Distribution,11109661.0,0.019,-2992.0,,4.76,,
2022 Q4,Cleveland,South,,Warehouse/Distribution,19199806.0,0.035,-17229.0,,5.73,,
2022 Q4,Cleveland,Southeast,,Warehouse/Distribution,38630418.0,0.047,-178395.0,,6.16,,
2022 Q4,Cleveland,Southwest,,Warehouse/Distribution,22101681.0,0.048,269135.0,,5.47,,
2022 Q4,Cleveland,Total Market,,Warehouse/Distribution,137543045.0,0.038,273436.0,947527.0,5.77,,
2022 Q4,Cleveland,Downtown,,Manufacturing,18452929.0,0.056,101992.0,,3.5,,
2022 Q4,Cleveland,East,,Manufacturing,1662652.0,0.012,0.0,,10.0,,
2022 Q4,Cleveland,Geauga West,,Manufacturing,923414.0,0.036,-12000.0,,7.41,,
2022 Q4,Cleveland,Lake County West,,Manufacturing,14738871.0,0.002,11639.0,,4.63,,
2022 Q4,Cleveland,Northeast,,Manufacturing,16854601.0,0.031,0.0,,2.86,,
2022 Q4,Cleveland,Northwest,,Manufacturing,20756085.0,0.003,150000.0,,7.26,,
2022 Q4,Cleveland,South,,Manufacturing,14609316.0,0.005,10837.0,,5.93,,
2022 Q4,Cleveland,Southeast,,Manufacturing,14347754.0,0.002,-9890.0,,8.54,,
2022 Q4,Cleveland,Southwest,,Manufacturing,22043206.0,0.014,-7796.0,,4.64,,
2022 Q4,Cleveland,Total Market,,Manufacturing,124388828.0,0.017,244782.0,,4.0,,
2022 Q4,Cleveland,Downtown,,R&D/Flex,1746034.0,0.014,0.0,,5.55,,
2022 Q4,Cleveland,East,,R&D/Flex,1712444.0,0.075,-7086.0,,11.44,,
2022 Q4,Cleveland,Geauga West,,R&D/Flex,279632.0,0.0,0.0,,16.58,,
2022 Q4,Cleveland,Lake County West,,R&D/Flex,2806793.0,0.012,-12293.0,,8.32,,
2022 Q4,Cleveland,Northeast,,R&D/Flex,391545.0,0.0,0.0,,5.5,,
2022 Q4,Cleveland,Northwest,,R&D/Flex,1068325.0,0.0,3000.0,,6.75,,
2022 Q4,Cleveland,South,,R&D/Flex,4076641.0,0.027,22346.0,,7.6,,
2022 Q4,Cleveland,Southeast,,R&D/Flex,4792769.0,0.03,-4486.0,,6.58,,
2022 Q4,Cleveland,Southwest,,R&D/Flex,2637812.0,0.048,19500.0,,8.52,,
2022 Q4,Cleveland,Total Market,,R&D/Flex,19511995.0,0.029,20981.0,,8.13,,
2022 Q4,Cleveland,Downtown,,Industrial,44392850.0,0.032,110992.0,,3.77,,
2022 Q4,Cleveland,East,,Industrial,6162281.0,0.048,-51439.0,,9.16,,
2022 Q4,Cleveland,Geauga West,,Industrial,2129734.0,0.038,-12000.0,,7.31,,
2022 Q4,Cleveland,Lake County West,,Industrial,26438562.0,0.035,39616.0,,4.78,,
2022 Q4,Cleveland,Northeast,,Industrial,26946967.0,0.03,198000.0,,4.27,,
2022 Q4,Cleveland,Northwest,,Industrial,32934071.0,0.009,150008.0,323527.0,5.76,,
2022 Q4,Cleveland,South,,Industrial,37885763.0,0.039,15954.0,260000.0,5.96,,
2022 Q4,Cleveland,Southeast,,Industrial,57770941.0,0.034,-192771.0,,6.24,,
2022 Q4,Cleveland,Southwest,,Industrial,46782699.0,0.032,280839.0,364000.0,5.5,,
2022 Q4,Cleveland,Total Market,,Industrial,281443868.0,0.028,539199.0,947527.0,5.52,,
2022 Q4,Columbus,Central,,Modern Warehouse,716372.0,,,860000.0,,,
2022 Q4,Columbus,Delaware County,,Modern Warehouse,2175848.0,0.056,-61650.0,,,,
2022 Q4,Columbus,East,,Modern Warehouse,2073300.0,,144000.0,2839056.0,,144000.0,
2022 Q4,Columbus,Fairfield County,,Modern Warehouse,315000.0,,,,,,
2022 Q4,Columbus,Licking County,,Modern Warehouse,16219602.0,0.141,303219.0,4086743.0,4.48,2166840.0,
2022 Q4,Columbus,Madison County,,Modern Warehouse,14752576.0,0.074,,1675791.0,,,
2022 Q4,Columbus,Northeast,,Modern Warehouse,2123173.0,,,,,,
2022 Q4,Columbus,Northwest,,Modern Warehouse,,,,,,,
2022 Q4,Columbus,Pickaway County,,Modern Warehouse,2216865.0,0.054,,1198965.0,,,
