Period,Market,primary_submarket,secondary_submarket,property_type,total_inventory_q,vacancy_q,net_absorption_q,under_construction_q,rent_q,delivered_q,leasing_activity_q
2022 H1,Oklahoma City,Central,,Industrial,14157529,0.045,14626.0,10000,6.93,58284.0,
2022 H1,Oklahoma City,Northeast,,Industrial,3608226,0.003,370000.0,645000,7.36,370000.0,
2022 H1,Oklahoma City,Northwest,,Industrial,26997278,0.024,150499.0,108561,9.6,58400.0,
2022 H1,Oklahoma City,Southeast,,Industrial,22819593,0.026,223049.0,28795,6.3,,
2022 H1,Oklahoma City,Southwest,,Industrial,39392487,0.02,544272.0,625206,7.44,407800.0,
2022 H1,Oklahoma City,Oklahoma City,,Industrial,106975113,0.025,1302446.0,1417562,7.67,894484.0,
2022 H1,tulsa,Bartlesville,,Industrial,2982112,0.036,,0,3.32,,
2022 H1,tulsa,CBD,,Industrial,1666790,0.102,-5456.0,0,5.11,,
2022 H1,tulsa,East,,Industrial,4506808,0.007,162245.0,31500,5.46,137500.0,
2022 H1,tulsa,Mayes County,,Industrial,4205354,0.002,,0,6.65,,
2022 H1,tulsa,Midtown,,Industrial,111996,0.071,,0,5.74,,
2022 H1,tulsa,Muskogee County,,Industrial,6193351,0.054,10192.0,0,2.37,,
2022 H1,tulsa,North Central,,Industrial,6632927,0.047,-16335.0,0,4.96,,
2022 H1,tulsa,Northeast,,Industrial,38554559,0.022,99925.0,684616,5.64,19322.0,
2022 H1,tulsa,Northwest,,Industrial,6228873,0.014,56516.0,0,4.62,23784.0,
2022 H1,tulsa,South,,Industrial,2857980,0.008,0.0,35000,6.37,,
2022 H1,tulsa,South Central,,Industrial,13553669,0.043,199279.0,9000,6.55,,
2022 H1,tulsa,Southeast,,Industrial,16246062,0.018,42726.0,163000,6.44,25070.0,
2022 H1,tulsa,Southwest,,Industrial,17858400,0.017,393826.0,14400,5.88,568000.0,
2022 H1,tulsa,Outlying Market Area,,Industrial,6263889,0.033,,0,2.99,,
2022 H1,tulsa,Tulsa,,Industrial,127862770,0.026,942918.0,937516,5.37,773676.0,
