primary_submarket,secondary_submarket,property_type,total_inventory_q,vacancy_q,net_absorption_q,under_construction_q,rent_q,delivered_q,leasing_activity_q
Concord,,,8157887,2.0,-7902,,1.25,,
Martinez/Pacheco,,,2458487,1.3,14178,,1.15,,
Pleasant Hill,,,391324,0.0,1812,,1.15,,
Walnut Creek,,,991703,0.0,0,,1.50,,
Antioch/Oakley,,,2963480,0.5,-2899,,0.70,,
Pittsburg,,,4398012,13.2,-58617,,0.65,,
Brentwood,,,3064711,4.3,4601,,1.15,,
Total Market,,"Warehouse",15036870,2.9,-58713,,1.08,,
Total Market,,"Manufacturing",3053497,12.8,-2916,,1.08,,
Total Market,,"R&D Flex",4335237,2.3,12802,,,,
Total Market,,,22425604,4.1,-48827,,1.08,48827,
