primary_submarket,secondary_submarket,property_type,total_inventory_q,vacancy_q,net_absorption_q,under_construction_q,rent_q,delivered_q,leasing_activity_q
West Raleigh,,Warehouse,1376849,5.3,-24067,,10.95,,
US 70/Glenwood Avenue,,Warehouse,2672038,0.1,217348,,11.09,,
Six Forks/Falls of Neuse Road,,Warehouse,2800156,23.1,-336451,,10.02,,
US 1/Capital Boulevard,,Warehouse,7799575,1.1,12678,,11.74,,
Eastern Wake,,Warehouse,22308655,4.0,414101,1174870,10.56,,
Southern Wake,,Warehouse,6079781,4.8,-3839,116555,11.00,,
Cary,,Warehouse,2612692,3.7,-72906,,10.95,,
RTP/I-40 Corridor,,Warehouse,21128278,1.8,43940,639572,10.41,,
North Durham,,Warehouse,2664856,1.2,-33178,644400,10.91,,
South Durham,,Warehouse,1768646,1.9,-8396,0,11.90,,
Orange County,,Warehouse,5971736,15.1,513812,0,8.54,,
Core Market Totals,,Warehouse,77183262,4.6,723042,2575397,10.51,,
Johnston County,,Warehouse,10083114,10.1,65418,0,6.99,,
US 1/64 West Corridor,,Warehouse,8972768,5.2,-78500,1224820,6.10,,
Franklin County,,Warehouse,3617412,3.4,-26100,20000,8.06,,
Granville County,,Warehouse,5334599,2.3,50000,0,7.98,,
Outlying Market Totals,,Warehouse,28007893,6.1,10818,1244820,7.00,,
Market Totals,,Warehouse,105191155,5.1,733860,3820217,9.41,,
