primary_submarket,secondary_submarket,property_type,total_inventory_q,vacancy_q,net_absorption_q,under_construction_q,rent_q,delivered_q,leasing_activity_q
Banning/Beaumont,,,9525613,15.3,-1000000,0,0.00,,
Colton,,,8891159,8.8,-537034,417809,1.19,,
Corona/Norco,,,33817579,5.5,915780,220589,1.19,,945802
Moreno Valley,,,33778212,5.9,-303740,38820,1.30,,70588
Perris,,,43122390,14.9,-1765630,1627719,1.00,,210900
Redlands/Loma Linda,,,30411995,7.7,-333184,571039,1.03,,1091697
Rialto/Bloomington,,,43206732,7.1,-279148,752784,1.15,,2228885
Riverside,,,58686736,6.3,-725135,1125920,1.14,,668212
San Bernardino,,,45736484,7.9,-422870,672845,1.04,,449513
Inland Empire East,,,307176900,8.2,-1014428,5427525,1.14,1600000,5665597
