primary_submarket,secondary_submarket,property_type,total_inventory_q,vacancy_q,net_absorption_q,under_construction_q,rent_q,delivered_q,leasing_activity_q
Dublin,,"",1405322,0.078,10849,,1.58,,
Dublin,,"Manufacturing",50640,0,0,,1.5,,
Dublin,,"Warehouse",1354682,0.081,10849,,1.65,,
Livermore,,"",15668872,0.046,-146690,,1.05,,
Livermore,,"Manufacturing",2570034,0.077,-31613,,1.05,,
Livermore,,"Warehouse",13098838,0.04,-115077,,1.05,,
Pleasanton,,"",2096803,0.016,1158,,1.38,,
Pleasanton,,"Manufacturing",193115,0,0,,1.5,,
Pleasanton,,"Warehouse",1903688,0.018,1158,,1.25,,
San Ramon,,"",983969,0.006,917,,1.5,,
San Ramon,,"Manufacturing",0,0,0,0,0,,
San Ramon,,"Warehouse",983969,0.006,917,,1.5,,
Tri-Valley Ind. Market,,"Total Industrial",20154966,0.043,-133766,,1.2,,
Tri-Valley Ind. Market,,"Manufacturing",2813789,0.07,-31613,,1.39,,
Tri-Valley Ind. Market,,"Warehouse",17341177,0.039,-102153,,1.05,,
