primary_submarket,secondary_submarket,property_type,total_inventory_q,vacancy_q,net_absorption_q,under_construction_q,rent_q,delivered_q,leasing_activity_q
Northeast,,"Warehouse",24438030,3.9,-248737,25000,8.72,,
Northwest,,"Warehouse",21589684,7.9,107732,249500,7.80,,
Southeast,,"Warehouse",50811255,2.0,577658,2500000,7.84,,
Southwest,,"Warehouse",37239296,2.3,-76603,505068,7.00,,
,,"Warehouse",134078265,3.4,360050,3279568,7.71,,
Northeast,,"Flex",1784040,12.0,-37104,0,12.66,,
Northwest,,"Flex",5240305,4.9,60901,22000,12.04,,
Southeast,,"Flex",1496369,9.7,-26134,0,11.65,,
Southwest,,"Flex",2938495,2.5,79052,0,10.00,,
,,"Flex",11459209,6.0,76715,22000,11.93,,
Northeast,,"Overall",26222070,4.5,-285841,25000,9.88,,
Northwest,,"Overall",26829989,7.3,168633,271500,8.36,,
Southeast,,"Overall",52307624,2.2,551524,2500000,8.37,,
Southwest,,"Overall",40177791,2.3,2449,505068,7.16,,
Total,,,145537474,3.6,436765,3301568,8.29,,
