primary_submarket,secondary_submarket,property_type,total_inventory_q,vacancy_q,net_absorption_q,under_construction_q,rent_q,delivered_q,leasing_activity_q
BASTROP COUNTY,,,605133,3.06,85000,222346,6.00,85000,
CALDWELL COUNTY,,,467144,35.32,0,,,,
CEDAR PARK,,,5144424,13.59,21477,229977,18.15,271689,
CENTRAL,,,1399905,5.65,62236,,11.98,,
EAST,,,3525085,9.21,-81487,2373921,14.71,,
FAR NORTH,,,7280349,26.49,456471,566771,9.07,100165,
FAR NORTHEAST,,,3063040,26.54,250047,995266,10.93,245507,
HAYS COUNTY,,,11100504,13.48,480331,1323551,11.22,35384,
NORTH,,,14970986,11.19,17863,,12.17,,
NORTHEAST,,,20749525,9.61,169467,1758953,12.23,135927,
NORTHWEST,,,315182,7.01,7500,,17,,
ROUND ROCK,,,5313685,9.86,-21037,874815,14.77,,
SOUTH,,,2405515,7.94,17863,,15.68,,
SOUTHEAST,,,17425940,16.82,325085,1694913,8.53,40000,
SOUTHWEST,,,901568,5.67,-7317,269959,21.7,,
AUSTIN TOTAL,,,94667985,13.64,1571695,10088126,12.03,913672,
