primary_submarket,secondary_submarket,property_type,total_inventory_q,vacancy_q,net_absorption_q,under_construction_q,rent_q,delivered_q,leasing_activity_q
Central Atlanta,,,7212861,9.0,-6877,0,10.42,0,
Chattahoochee,,,15321291,5.3,-118025,0,9.94,0,
Northwest/I-75,,,82513935,14.3,588689,1019668,6.77,0,
North Central/GA 400 Corridor,,,25532491,4.8,-142639,90869,9.11,0,
Northeast/I-85,,,212654168,9.6,1049865,1528574,7.52,2720944,
Stone Mountain,,,27993825,3.4,-30127,0,6.49,0,
Airport,,,85062233,6.1,-329408,733526,7.51,265775,
Southeast/I-75,,,75719591,6.1,2402340,4363659,6.89,1642307,
Southwest/I-85,,,63283849,7.3,-5178,1534824,7.36,316072,
I-20 East,,,42643569,7.8,-245488,1576647,6.46,0,
I-20 West,,,109318201,6.7,89125,973166,6.60,852779,
ATLANTA,,"WAREHOUSE/DISTRIBUTION",619740994,8.7,3756630,11820933,6.85,5634707,
ATLANTA,,"SHALLOW BAY",88748983,5.2,-385875,,7.09,163170,
ATLANTA,,"FLEX",38766037,5.6,-118478,,11.27,0,
ATLANTA,,,747256014,8.2,3252277,11820933,7.46,5797877,
