primary_submarket,secondary_submarket,property_type,total_inventory_q,vacancy_q,net_absorption_q,under_construction_q,rent_q,delivered_q,leasing_activity_q
Airport,,Industrial,101789717,7.9,622722,1337000,7.38,,
Airport,East,Industrial,45651825,12.1,604074,1337000,6.92,,
Airport,Central,Industrial,55901405,4.4,18648,,8.37,,
Boulder,,Industrial,10827229,4.6,-1840,,16.08,,
I-76 Corridor,,Industrial,15619192,20.6,919904,,7.23,,
Longmont,,Industrial,5824557,16.6,-17479,,14.45,,
North,,Industrial,13920589,12.0,210940,1278009,10.99,,
North Central,,Industrial,35603840,6.6,-59434,97336,10.92,,
Northwest,,Industrial,17443244,7.1,-56015,876100,13.52,,
South Central,,Industrial,24873549,2.3,-171020,40904,10.86,,
Southeast,,Industrial,23968509,7.2,26353,89271,11.92,,
Southwest,,Industrial,8702727,2.8,-15106,175204,12.45,,
West,,Industrial,11251540,1.6,17932,,11.78,,
METRO TOTAL,,Industrial,269824693,7.7,1476957,3948424,9.60,1100000,
