primary_submarket,secondary_submarket,property_type,total_inventory_q,vacancy_q,net_absorption_q,under_construction_q,rent_q,delivered_q,leasing_activity_q
Piedmont Triad Airport Area,,Warehouse,17633449,0.096,-15691,1100560,7.06,,
North Guilford,,Warehouse,7338363,0.028,-73000,,6.73,,
South Greensboro,,Warehouse,1905542,0.113,-10974,160000,7.51,,
Central Guilford,,Warehouse,4325336,0.12,-1328,,7.56,,
Southeast Guilford,,Warehouse,7424658,0.125,,,6.72,,
High Point,,Warehouse,8118726,0.028,-31836,,5.33,,
North Forsyth,,Warehouse,7120210,0.05,121413,,5.82,,
Kernersville,,Warehouse,3973876,0.007,-14500,,10.9,,
South Forsyth,,Warehouse,3526051,,,,,,
Southeast Forsyth,,Warehouse,7010064,0.018,644000,157500,5.25,,
Winston-Salem CBD,,Warehouse,1978560,0.042,-3884,,4,,
Clemmons,,Warehouse,477159,0.21,50000,,6.5,,
South Alamance,,Warehouse,6365316,0.203,68788,404450,6.78,,
North Alamance,,Warehouse,5813245,0.031,10000,,4.56,,
West Burlington/Airport,,,648478,,,,,,
SW Alamance,,,2389216,,,,,,
South Burlington,,Warehouse,1317504,0.124,,,4.76,,
Burlington CBD,,Warehouse,975559,0.076,17177,,5.08,,
Davidson County,,Warehouse,25558495,0.038,205069,,5.02,,
Davie County,,Warehouse,8326784,0.139,-25000,282652,6.23,,
Market Total,,Warehouse,122226591,0.068,940234,2105162,6.41,,
