primary_submarket,secondary_submarket,property_type,total_inventory_q,vacancy_q,net_absorption_q,under_construction_q,rent_q,delivered_q,leasing_activity_q
Central,,Overall Industrial,32566223,0.012,131332,862322,9.62,,
Delaware County,,Overall Industrial,11927377,0.004,,148000,12.79,,
East,,Overall Industrial,26754549,0.032,33529,1246027,8.78,,
Fairfield County,,Overall Industrial,8139957,0.096,-201318,825322,4.14,209632,
Licking County,,Overall Industrial,37445516,0.051,1736283,1491007,5.63,625122,
Madison County,,Overall Industrial,19717860,0.129,,2134247,5.45,712000,
Northeast,,Overall Industrial,12777498,0.083,1806,,6.23,542737,
Northwest,,Overall Industrial,1553079,0.112,-875,,8.65,140244,
Pickaway County,,Overall Industrial,16894267,0.040,1727649,1393421,7.88,,
Southeast,,Overall Industrial,70996058,0.047,575095,288172,6.43,518903,
Southwest,,Overall Industrial,18244876,0.035,87494,,7.57,332515,
Union County,,Overall Industrial,9213739,,,1300000,,,
West,,Overall Industrial,36428114,0.025,-219268,1051628,7.84,,
Central,,Modern Warehouse,716372,,,862322,,,
Delaware County,,Modern Warehouse,2175848,0.014,,148000,,,
East,,Modern Warehouse,2252186,0.034,144000,1246027,,,
Fairfield County,,Modern Warehouse,524632,0.400,,825322,6.75,209632,
Licking County,,Modern Warehouse,17744386,0.056,1682700,1491007,6.15,625122,
Madison County,,Modern Warehouse,16428367,0.155,,2134247,5.45,712000,
Northeast,,Modern Warehouse,2665910,0.204,,,5.75,542737,
Northwest,,Modern Warehouse,140244,.0112,,,7.88,140244,
Pickaway County,,Modern Warehouse,11239318,0.060,1727649,1393421,7.88,,
Southeast,,Modern Warehouse,43777770,0.050,738190,288172,6.02,518903,
Southwest,,Modern Warehouse,6069513,0.085,52922,,6.75,332515,
Union County,,Modern Warehouse,355000,,,1300000,,,
West,,Modern Warehouse,782730,,,1051628,,,
Total,,Overall Industrial,302659113,0.044,3914506,10740146,6.20,3081153,
Total,,Modern Warehouse,104872276,0.075,4345461,10740146,5.97,3081153,
