primary_submarket,secondary_submarket,property_type,total_inventory_q,vacancy_q,net_absorption_q,under_construction_q,rent_q,delivered_q,leasing_activity_q
Oahu,Kakaako,Industrial,2129129,,,1.31,,
Oahu,Iwilei,Industrial,2541284,,-4831,,1.4,,
Oahu,Kalihi,Industrial,9788136,,-36169,,1.42,,
Oahu,Mapunapuna,Industrial,2916790,,3599,,1.57,,
Oahu,Airport,Industrial,3117404,,-707,,1.51,,
Oahu,Bougainville,Industrial,388051,,,,,,
Oahu,Halawa,Industrial,1461384,,-7940,,1.41,,
Oahu,Pearl City,Industrial,3666488,,25782,,1.43,,
Oahu,Waipio,Industrial,1936581,,4995,,1.43,,
Oahu,Waipahu,Industrial,3280374,,7475,,1.5,,
Oahu,Kapolei,Industrial,2655301,,-4489,,1.34,,
Oahu,Campbell,Industrial,4005265,,26739,,1.34,,
Oahu,Windward,Industrial,1079413,,-9600,,,,
Oahu,,Total,38965600,,4854,,1.43,,
Maui,,,8780622,,-3460,,1.4,,
Big Island,,,6143962,,15986,,1.7,,
Kauai,,,1834993,,-14000,,1.63,,
State,,,55725177,,3380,,1.45,,
