primary_submarket,secondary_submarket,property_type,total_inventory_q,vacancy_q,net_absorption_q,under_construction_q,rent_q,delivered_q,leasing_activity_q
Cabarrus County,,Industrial,23664840,0.065,299533,228000,,,
Central,,Industrial,19647765,0.047,9865,0,,,
East,,Industrial,1656141,0.048,0,0,,,
Gaston County,,Industrial,34700348,0.172,26570,347640,,,
Iredell County,,Industrial,31710445,0.039,420213,537500,,,
Lancaster County,,Industrial,5475925,0.009,0,0,,,
Lincoln County,,Industrial,12317953,0.065,408200,0,,,
North,,Industrial,28135362,0.099,56619,1300886,,,
Northeast,,Industrial,3270657,0.178,0,0,,,
Northwest,,Industrial,11681045,0.084,6,0,,,
Rowan County,,Industrial,20213577,0.147,269397,755518,,,
Southeast,,Industrial,4047802,0.047,6860,0,,,
Southwest,,Industrial,49013564,0.056,66747,587980,,,
Union County,,Industrial,14694543,0.018,4315,60000,,,
West,,Industrial,11968690,0.153,100606,345379,,,
York County,,Industrial,33219017,0.064,672189,227400,,,
Market Total,,Industrial,305417674,0.082,2341120,4162903,9.87,,
