primary_submarket,secondary_submarket,property_type,total_inventory_q,vacancy_q,net_absorption_q,under_construction_q,rent_q,delivered_q,leasing_activity_q
City of Alexandria,,Overall Industrial,3830970,0.047,0,0,18.04,,
Arlington County,,Overall Industrial,512693,0.018,-2000,0,24.00,,
Fairfax County,,Overall Industrial,32566724,0.051,3326,0,16.08,,
Loudoun County,,Overall Industrial,19979142,0.043,112241,0,18.17,,
Prince William County,,Overall Industrial,18057871,0.025,174553,506883,15.74,,
Total,,Overall Industrial,74947400,0.042,288120,506883,16.71,,
City of Alexandria,,Warehouse,3295083,0.047,0,0,18.04,,
Arlington County,,Warehouse,400784,0.023,-2000,0,24.00,,
Fairfax County,,Warehouse,19085938,0.035,33534,0,16.03,,
Loudoun County,,Warehouse,13497114,0.051,90966,0,18.67,,
Prince William County,,Warehouse,13675462,0.028,172553,506883,15.81,,
Total,,Warehouse,49954381,0.038,295053,506883,17.07,,
City of Alexandria,,Flex,535887,0.047,0,0,,,
Arlington County,,Flex,111909,,,,,,
Fairfax County,,Flex,13480786,0.073,-30208,0,16.13,,
Loudoun County,,Flex,6482028,0.026,21275,0,15.76,,
Prince William County,,Flex,4382409,0.014,2000,0,15.57,,
Total,,Flex,24993019,0.05,-6933,0,16.04,,
Market Total,,Industrial,74947400,0.042,288120,506883,16.71,,
