primary_submarket,secondary_submarket,property_type,total_inventory_q,vacancy_q,net_absorption_q,under_construction_q,rent_q,delivered_q,leasing_activity_q
Northeast,,Industrial,49598255,0.031,437430,489700,0.75,,
Northwest,,Industrial,39247791,0.021,470597,293480,0.75,,
Southeast,,Industrial,31312102,0.024,-20905,,0.7,,
Southwest,,Industrial,38988811,0.02,243398,714980,0.8,,
Sunset Corridor,,Industrial,32670723,0.022,106857,,0.73,,
Clark County,,Industrial,26340361,0.016,140716,957895,0.75,,
Total,,Industrial,218158043,0.023,1378093,2456055,,,
Northeast,,Business Park,22841222,0.034,426852,,0.75,,
Northwest,,Business Park,10747786,0.04,218139,,0.75,,
Southeast,,Business Park,7646262,0.003,3881,,0.7,,
Southwest,,Business Park,17963741,0.039,143340,435107,0.8,,
Sunset Corridor,,Business Park,9654902,0.042,47357,,0.73,,
Clark County,,Business Park,11501206,0.012,-25895,664653,0.75,,
Total,,Business Park,80355119,0.031,813674,1099760,,,
