primary_submarket,secondary_submarket,property_type,total_inventory_q,vacancy_q,net_absorption_q,under_construction_q,rent_q,delivered_q,leasing_activity_q
Central,,Modern Warehouse,716372,,,860000,,,
Delaware County,,Modern Warehouse,2175848,0.056,-61650,,,,
East,,Modern Warehouse,2073300,,144000,2839056,,144000,
Fairfield County,,Modern Warehouse,315000,,,,,,
Licking County,,Modern Warehouse,16219602,0.141,303219,4086743,4.48,2166840,
Madison County,,Modern Warehouse,14752576,0.074,,1675791,,,
Northeast,,Modern Warehouse,2123173,,,,,,
Northwest,,Modern Warehouse,,,,,,,
Pickaway County,,Modern Warehouse,2216865,0.054,,1198965,,,
Southeast,,Modern Warehouse,50242553,0.032,574560,3092675,4.78,2531576,
Southwest,,Modern Warehouse,5736998,,52922,,,,
Union County,,Modern Warehouse,355000,,,,,,
West,,Modern Warehouse,782730,,,,,,
Total,,Modern Warehouse,97710017,0.065,1013051,15803198,4.65,4842416,
