primary_submarket,secondary_submarket,property_type,total_inventory_q,vacancy_q,net_absorption_q,under_construction_q,rent_q,delivered_q,leasing_activity_q
NORTH ORANGE COUNTY,Anaheim,Industrial,47855101,0.008,134397,314143,,,390347
NORTH ORANGE COUNTY,Brea,Industrial,11918504,0.019,-12627,124678,,,0
NORTH ORANGE COUNTY,Buena Park,Industrial,13791356,0.009,-61437,0,,,38146
NORTH ORANGE COUNTY,Fullerton,Industrial,20779926,0.007,-96343,139449,,,157944
NORTH ORANGE COUNTY,La Habra,Industrial,2580623,0.009,-24118,0,,,0
NORTH ORANGE COUNTY,Orange,Industrial,12462017,0.002,-10961,100483,,,12800
NORTH ORANGE COUNTY,Placentia,Industrial,3751617,0.005,-17888,0,,,0
NORTH ORANGE COUNTY,Yorba Linda,Industrial,1715157,0.076,11863,0,,,0
NORTH ORANGE COUNTY TOTAL,,Industrial,114854301,0.01,-77114,678753,,,599237
WEST ORANGE COUNTY,Cypress,Industrial,6052870,0.016,-58369,390268,,,98044
WEST ORANGE COUNTY,Garden Grove,Industrial,12266279,0.041,-107000,149335,,,136557
WEST ORANGE COUNTY,Huntington Beach,Industrial,15172039,0.023,-70281,0,,,0
WEST ORANGE COUNTY,La Palma,Industrial,2637948,0.033,-84321,0,,,0
WEST ORANGE COUNTY,Los Alamitos,Industrial,2250619,0.008,-18182,0,,,0
WEST ORANGE COUNTY,Seal Beach,Industrial,972051,0,0,0,,,0
WEST ORANGE COUNTY,Stanton,Industrial,1072081,0,0,0,,,12800
WEST ORANGE COUNTY,Westminster,Industrial,1910929,0,0,0,,,0
WEST ORANGE COUNTY TOTAL,,Industrial,42334816,0.025,-338153,539603,,,247401
AIRPORT AREA,Costa Mesa,Industrial,8593939,0.008,-11581,0,,,0
AIRPORT AREA,Fountain Valley,Industrial,4234163,0.009,0,0,,,0
AIRPORT AREA,Irvine,Industrial,18434146,0.026,-102491,294330,,,215186
AIRPORT AREA,Newport Beach,Industrial,734354,0,0,0,,,0
AIRPORT AREA,Santa Ana,Industrial,27547528,0.023,-119739,82241,,,91635
AIRPORT AREA,Tustin,Industrial,7499435,0.042,0,0,,,0
AIRPORT AREA TOTAL,,Industrial,67043565,0.023,-233811,376571,,,306821
SOUTH ORANGE COUNTY,Aliso Viejo,Industrial,1341205,0,0,0,,,0
SOUTH ORANGE COUNTY,Foothill Ranch,Industrial,3073919,0,-3623,0,,,16377
SOUTH ORANGE COUNTY,Irvine Spectrum,Industrial,16896969,0.011,0,94195,,,41193
SOUTH ORANGE COUNTY,Laguna Hills,Industrial,1105229,0,0,0,,,0
SOUTH ORANGE COUNTY,Laguna Niguel,Industrial,587917,0,0,0,,,0
SOUTH ORANGE COUNTY,Lake Forest,Industrial,4212419,0.017,-33805,0,,,31844
SOUTH ORANGE COUNTY,Mission Viejo,Industrial,952065,0,0,0,,,0
SOUTH ORANGE COUNTY,San Clemente,Industrial,2391633,0.017,0,0,,,0
SOUTH ORANGE COUNTY,San Juan Capistrano,Industrial,904246,0,0,136308,,,0
SOUTH ORANGE COUNTY,Santa Margarita,Industrial,2461518,0,11680,94195,,,0
SOUTH ORANGE COUNTY TOTAL,,Industrial,33927120,0.009,-25748,230503,,,89414
ORANGE COUNTY TOTAL,,Industrial,258159802,0.015,-674826,1825430,,,1242873
