primary_submarket,secondary_submarket,property_type,total_inventory_q,vacancy_q,net_absorption_q,under_construction_q,rent_q,delivered_q,leasing_activity_q
Downtown,,Industrial,44474767,0.024,-76738,,5.14,,
East,,Industrial,6285747,0.021,-5613,,8.36,,
Geauga West,,Industrial,2129114,0.031,-24880,,6.01,,
Lake County West,,Industrial,26586962,0.026,-12790,100000,5.30,,
Northeast,,Industrial,26808005,0.021,-17424,434000,5.96,,
Northwest,,Industrial,32948611,0.008,12000,200000,6.25,,
South,,Industrial,36113206,0.019,8579,,6.29,,
Southeast,,Industrial,57937973,0.042,-213054,678000,5.62,,
Southwest,,Industrial,47349913,0.025,156854,31200,5.78,,
Total Market,,Industrial,282206390,0.03,-173066,1443200,5.76,,
,Warehouse/ Distribution,Industrial,140386357,0.0453,-164984,908200,5.61,,
,Modern Bulk,Industrial,17655003,0.091,109186,,7.56,,
,Manufacturing,Industrial,122214830,0.0143,-3566,535000,5.54,,
,R&D/Flex,Industrial,19605203,0.0224,-4516,,8.24,,
Total Market,,Industrial,282206390,0.03,-173066,1443200,5.76,,
