primary_submarket,secondary_submarket,property_type,total_inventory_q,vacancy_q,net_absorption_q,under_construction_q,rent_q,delivered_q,leasing_activity_q
CBD,,Industrial,2151911,0.047,,,"12.00",,
CBD,Class A,Industrial,,,,,,,
CBD,Class B,Industrial,,16.9,,,12.00,,
North Central,,Industrial,12286162,0.029,-10567,689215,11.83,,
North Central,Class A,Industrial,1091818,0.049,35700,689215,9.50,,
North Central,Class B,Industrial,6203369,0.033,-36477,689215,12.48,,
Northeast,,Industrial,79822799,0.099,105293,4150645,7.88,264694,
Northeast,Class A,Industrial,34075408,0.175,360601,4105645,7.16,264694,
Northeast,Class B,Industrial,24271545,0.059,-165895,45000,9.02,,
Northwest,,Industrial,16788420,0.063,-112998,,11.47,,
Northwest,Class A,Industrial,1415859,0.466,-2728,,9.63,,
Northwest,Class B,Industrial,7576602,0.027,-33814,,13.83,,
South,,Industrial,26193112,0.043,370931,564212,6.34,252611,
South,Class A,Industrial,9281922,0.035,12918,564212,18.07,,
South,Class B,Industrial,10380581,0.032,361897,,5.47,252611,
San Antonio Total,,Industrial,137242404,0.077,352659,5404072,8.43,517305,
San Antonio Total,Class A,Industrial,45865007,0.152,406491,5359072,7.43,264694,
San Antonio Total,Class B,Industrial,48799052,0.046,125711,45000,10.09,252611,
