primary_submarket,secondary_submarket,property_type,total_inventory_q,vacancy_q,net_absorption_q,under_construction_q,rent_q,delivered_q,leasing_activity_q
City of Alexandria,,Overall Industrial,3721126,0.072,-60013,,15.31,,
Arlington County,,Overall Industrial,512693,,,,,
Fairfax County,,Overall Industrial,33197463,0.062,-30637,200372,15.98,,
Loudoun County,,Overall Industrial,20002729,0.029,74852,432920,16.87,,
Prince William County,,Overall Industrial,18233106,0.033,179411,,16.01,,
Total,,Overall Industrial,75677117,0.046,163613,633292,16.13,,
City of Alexandria,,Warehouse,3180114,0.077,-55998,,15.28,,
Arlington County,,Warehouse,400784,,,,,,
Fairfax County,,Warehouse,19388980,0.057,-54955,200372,16.27,,
Loudoun County,,Warehouse,13155733,0.016,55760,432920,17.92,,
Prince William County,,Warehouse,13760105,0.034,171952,,15.78,,
Total,,Warehouse,49885716,0.039,716759,633292,16.49,,
City of Alexandria,,Flex,551012,0.045,-4015,,15.46,,
Arlington County,,Flex,111909,,,,,,
Fairfax County,,Flex,13808483,0.075,24318,,15.70,,
Loudoun County,,Flex,6846996,0.054,19092,,15.23,,
Prince William County,,Flex,4473001,0.028,7459,,16.67,,
Total,,Flex,25791401,0.06,46854,,16.68,,
