primary_submarket,secondary_submarket,property_type,total_inventory_q,vacancy_q,net_absorption_q,under_construction_q,rent_q,delivered_q,leasing_activity_q
Airport,,Industrial,100766519,0.075,-402112,2515914,7.19,,
Airport,Airport East,Industrial,44628627,0.119,-45347,2515914,6.73,,
Airport,Airport Central,Industrial,55901405,0.04,-356765,,8.28,,
Boulder,,Industrial,10888581,0.044,-23209,,17.05,,
1-76 Corridor,,Industrial,15619192,0.262,200326,,6.79,,
Longmont,,Industrial,5824557,0.159,15053,,14.38,,
North,,Industrial,13123388,0.1,279924,1769688,10.27,,
North Central,,Industrial,35019944,0.048,89644,581250,10.73,,
Northwest,,Industrial,17797566,0.091,259640,673031,13.24,,
South Central,,Industrial,24873549,0.016,-41117,40904,12.15,,
Southeast,,Industrial,23670382,0.078,56394,298127,11.47,,
Southwest,,Industrial,8702727,0.019,-86050,,13.31,,
West,,Industrial,11251540,0.018,39461,,10.90,,
METRO TOTAL,,Industrial,267537945,0.076,387954,5878914,9.23,,
