primary_submarket,secondary_submarket,property_type,total_inventory_q,vacancy_q,net_absorption_q,under_construction_q,rent_q,delivered_q,leasing_activity_q
Annapolis,Warehouse,Industrial,368762,0,,,,10.65,,
Baltimore City,Warehouse,Industrial,28754823,0.055,543433,,9.36,,
Baltimore County East,Warehouse,Industrial,28448048,0.065,94032,2346300,9.17,,
Baltimore Southwest,Warehouse,Industrial,7424498,0.113,-102427,,11.05,,
Balt/Washington Corridor,Warehouse,Industrial,50052921,0.083,-718696,693000,13.08,,
Harford/Cecil County,Warehouse,Industrial,39400756,0.039,267696,616650,7.53,,
Hunt Valley/Towson,Warehouse,Industrial,2962411,0,-26605,,9.16,,
Owings Mills/Reisterstown Rd,Warehouse,Industrial,706368,0.153,0,,11.50,,
Total,Warehouse,Industrial,158118587,0.075,57433,3655950,10.07,,
Annapolis,Flex,Industrial,1193298,0.084,600,,16.46,,
Baltimore City,Flex,Industrial,2726461,0.078,20082,,8.26,,
Baltimore County East,Flex,Industrial,2904145,0.072,29919,,8.56,,
Baltimore Southwest,Flex,Industrial,3653313,0.121,-925,,11.73,,
Balt/Washington Corridor,Flex,Industrial,14556760,0.056,83841,,14.30,,
Harford/Cecil County,Flex,Industrial,1839712,0.047,9171,,10.11,,
Hunt Valley/Towson,Flex,Industrial,3545745,0.058,12383,,10.58,,
Owings Mills/Reisterstown Rd,Flex,Industrial,1792677,0.15,-46670,,11.47,,
Total,Flex,Industrial,32212111,0.072,108401,,12.42,,
Annapolis,Overall,Industrial,1562060,0.064,600,,16.46,,
Baltimore City,Overall,Industrial,31481284,0.057,563515,,9.34,,
Baltimore County East,Overall,Industrial,31352193,0.042,123951,2346300,9.10,,
Baltimore Southwest,Overall,Industrial,11077811,0.142,-103352,,11.20,,
Balt/Washington Corridor,Overall,Industrial,64609681,0.063,-634855,693000,13.29,,
Harford/Cecil County,Overall,Industrial,41240468,0.11,276867,616650,7.59,,
Hunt Valley/Towson,Overall,Industrial,6508156,0.07,-14222,,9.81,,
Owings Mills/Reisterstown Rd,Overall,Industrial,2499045,0.108,-46670,,11.47,,
Total,Overall,Industrial,190330698,0.074,165834,3655950,10.39,,
