primary_submarket,secondary_submarket,property_type,total_inventory_q,vacancy_q,net_absorption_q,under_construction_q,rent_q,delivered_q,leasing_activity_q
North County,Daly City,Industrial,1188901,0.000,0,,1.57,,
North County,Brisbane,Industrial,4497708,0.032,-2950,,1.71,,
North County,South San Francisco,Industrial,15501262,0.076,-237835,,1.76,,
North County,San Bruno,Industrial,316342,0.000,0,,1.90,,
North County,Millbrae,Industrial,110582,0.196,0,,1.90,,
North County,Burlingame,Industrial,3983171,0.082,-8660,,1.85,,
North County Total,,Industrial,25597966,0.065,-249445,,1.79,,
Central County,San Mateo,Industrial,618880,0.075,-1898,,2.03,,
Central County,Foster City,Industrial,21600,0.907,0,,2.05,,
Central County,Belmont,Industrial,574730,0.006,7515,,2.15,,
Central County,San Carlos,Industrial,2712063,0.045,-13538,,2.10,,
Central County,Redwood City,Industrial,3014829,0.048,-5661,,2.21,,
Central County Total,,Industrial,6942102,0.048,-13582,,2.18,,
South County,Menlo Park,Industrial,1761021,0.073,-56223,,2.18,,
South County,Palo Alto/East PA,Industrial,1323265,0.033,-5000,,2.20,,
South County Total,,Industrial,3084286,0.056,-61223,,2.17,,
SF Peninsula Total,,Warehouse,29754506,0.064,-255362,,1.84,,
SF Peninsula Total,,Manufacturing,5869848,0.046,-68888,,1.99,,
SF Peninsula Market Total,,Industrial,35624354,0.061,-324250,0,1.86,,
