primary_submarket,secondary_submarket,property_type,total_inventory_q,vacancy_q,net_absorption_q,under_construction_q,rent_q,delivered_q,leasing_activity_q
Central / Airport,,Industrial,10787157,0.052,18499,,0.94,,
Central / Airport,,Bulk,8125683,0.053,9016,,0.91,,
Central / Airport,,Flex,2661474,0.049,9483,,1.00,,
East Valley,,Industrial,32475919,0.113,-71686,,0.77,,
East Valley,,Bulk,32353232,0.113,-71686,,0.77,,
East Valley,,Flex,122687,0.000,0,,,,
North Valley,,Industrial,27695101,0.129,510443,,0.87,,
North Valley,,Bulk,27466145,0.130,510443,,0.87,,
North Valley,,Flex,228956,0.000,0,,,,
South Reno,,Industrial,11246701,0.144,267285,,1.22,,
South Reno,,Bulk,9262650,0.145,259537,,1.18,,
South Reno,,Flex,1984051,0.041,7748,,1.40,,
Sparks,,Industrial,31106039,0.105,131993,,0.74,,
Sparks,,Bulk,28144775,0.113,147561,,0.74,,
Sparks,,Flex,2961264,0.031,-15568,,1.24,,
West Reno,,Industrial,3053123,0.132,3365,,0.86,,
West Reno,,Bulk,2644063,0.152,0,,0.85,,
West Reno,,Flex,409060,0.005,3365,,1.50,,
Reno Market Total,,Industrial,116889312,0.112,859899,1900000,0.83,,
Reno Market Total,,Bulk,108562167,0.117,854871,,0.81,,
Reno Market Total,,Flex,8327145,0.036,5028,,1.17,,
