primary_submarket,secondary_submarket,property_type,total_inventory_q,vacancy_q,net_absorption_q,under_construction_q,rent_q,delivered_q,leasing_activity_q
Airport,,Industrial,5790501,0.001,214100,1480043,1.10,220160,
Bench,,Industrial,1894698,0.008,-1090,,1.07,,
Caldwell,,Industrial,5137591,0.063,72300,396480,0.74,,
Downtown,,Industrial,473827,0.0,,,,,
Eagle,,Industrial,243270,0.011,-2605,14087,,,
Kuna,,Industrial,203390,0.0,,,1.10,,
Meridian,,Industrial,6029979,0.014,-36907,,0.80,,
Middleton,,Industrial,265608,0.0,,,,,
Nampa,,Industrial,11181183,0.037,45187,2079103,0.80,,
North Boise,,Industrial,1704516,0.008,15739,,0.75,,
South Meridian,,Industrial,876649,0.011,,,1.54,,
Southeast,,Industrial,4287732,0.01,43434,,1.54,,
Southwest,,Industrial,2238188,0.017,-38601,54300,0.79,,
Star,,Industrial,58076,0.0,,,,,
West,,Industrial,3572338,0.009,-9454,,1.17,,
West Canyon,,Industrial,1089102,0.0,,,,,
Market Total,,Industrial,45046648,0.022,302103,4024013,0.82,220160,
